Date,Open,High,Low,Close,Adj Close,Volume
10/04/2022,119.89,123.0,119.79,121.09,121.09,62812564
10/05/2022,118.58,121.75,117.69,120.95,120.95,48217535
10/06/2022,120.77,121.53,119.5,120.3,120.3,42253755
10/07/2022,118.0,118.17,113.88,114.56,114.56,54677980
10/10/2022,115.1,116.25,112.43,113.67,113.67,42339675
10/11/2022,112.71,115.48,110.39,112.21,112.21,56432233
10/12/2022,112.49,113.83,111.4,112.9,112.9,45728660
10/13/2022,107.88,113.44,105.34,112.53,112.53,86868103
10/14/2022,114.1,114.96,106.6,106.9,106.9,67737344
10/17/2022,110.11,114.19,110.09,113.79,113.79,62781985
10/18/2022,119.06,119.52,114.79,116.36,116.36,65607448
10/19/2022,114.71,116.59,113.22,115.07,115.07,47198122
10/20/2022,113.83,118.24,113.51,115.25,115.25,48795104
10/21/2022,114.79,119.59,114.5,119.32,119.32,55660485
10/24/2022,119.98,120.39,116.57,119.82,119.82,49531523
10/25/2022,119.65,121.32,118.95,120.6,120.6,50934609
10/26/2022,116.0,119.35,114.76,115.66,115.66,69002457
10/27/2022,113.92,114.12,109.77,110.96,110.96,129605362
10/28/2022,97.9,103.96,97.66,103.41,103.41,223133398
10/31/2022,103.56,104.87,100.74,102.44,102.44,99251395
11/01/2022,103.99,104.58,96.06,96.79,96.79,153370032
11/02/2022,97.32,97.74,92.01,92.12,92.12,135761798
11/03/2022,92.47,93.5,89.02,89.3,89.3,136683303
11/04/2022,91.49,92.44,88.04,90.98,90.98,129101336
11/07/2022,91.95,92.1,89.04,90.53,90.53,77495728
11/08/2022,90.79,91.72,88.23,89.98,89.98,88703370
11/09/2022,89.47,89.48,85.87,86.14,86.14,90796249
11/10/2022,92.94,98.69,91.65,96.63,96.63,173414862
11/11/2022,97.88,101.19,96.66,100.79,100.79,111590544
11/14/2022,98.77,100.12,97.29,98.49,98.49,99533072
11/15/2022,103.21,103.79,97.34,98.94,98.94,111336317
11/16/2022,96.85,98.49,95.54,97.12,97.12,87958828
11/17/2022,95.37,96.97,94.03,94.85,94.85,82617865
11/18/2022,95.95,95.99,92.48,94.14,94.14,72428185
11/21/2022,93.97,95.02,90.59,92.46,92.46,84330270
11/22/2022,92.62,93.35,90.87,93.2,93.2,62191962
11/23/2022,93.24,94.58,92.83,94.13,94.13,59414684
11/25/2022,93.79,94.43,93.06,93.41,93.41,35088609
11/28/2022,93.93,96.4,93.43,93.95,93.95,75062316
11/29/2022,94.04,94.41,91.44,92.42,92.42,65567286
11/30/2022,92.47,96.54,91.52,96.54,96.54,102805806
12/01/2022,96.99,97.23,94.92,95.5,95.5,68487969
12/02/2022,94.48,95.36,93.78,94.13,94.13,72496388
12/05/2022,93.05,94.06,90.82,91.01,91.01,71535526
12/06/2022,90.5,91.04,87.9,88.25,88.25,75503628
12/07/2022,88.34,89.89,87.48,88.46,88.46,68086880
12/08/2022,89.24,90.86,87.88,90.35,90.35,73305887
12/09/2022,88.9,90.3,88.63,89.09,89.09,67398506
12/12/2022,89.21,90.58,87.87,90.55,90.55,61999762
12/13/2022,95.23,96.25,90.52,92.49,92.49,100212038
12/14/2022,92.5,93.46,89.87,91.58,91.58,70298006
12/15/2022,89.89,89.97,87.47,88.45,88.45,84802877
12/16/2022,88.26,89.35,86.73,87.86,87.86,146144064
12/19/2022,87.51,87.63,84.51,84.92,84.92,83531460
12/20/2022,85.33,86.61,84.33,85.19,85.19,74348301
12/21/2022,86.18,87.22,85.21,86.77,86.77,59267156
12/22/2022,85.52,85.68,82.25,83.79,83.79,81431314
12/23/2022,83.25,85.78,82.93,85.25,85.25,57433655
12/27/2022,84.97,85.35,83.0,83.04,83.04,57284035
12/28/2022,82.8,83.48,81.69,81.82,81.82,58228575
12/29/2022,82.87,84.55,82.55,84.18,84.18,54995895
12/30/2022,83.12,84.05,82.47,84.0,84.0,62401194
01/03/2023,85.46,86.96,84.2,85.82,85.82,76706040
01/04/2023,86.55,86.98,83.36,85.14,85.14,68885123
01/05/2023,85.33,85.42,83.07,83.12,83.12,67930825
01/06/2023,83.03,86.4,81.43,86.08,86.08,83303361
01/09/2023,87.46,89.48,87.08,87.36,87.36,65266056
01/10/2023,87.57,90.18,87.29,89.87,89.87,67756601
01/11/2023,90.93,95.26,90.93,95.09,95.09,103126183
01/12/2023,96.93,97.19,93.5,95.27,95.27,85254781
01/13/2023,94.18,98.37,94.12,98.12,98.12,85549432
01/17/2023,98.68,98.89,95.73,96.05,96.05,72755001
01/18/2023,97.25,99.32,95.38,95.46,95.46,79570370
01/19/2023,94.74,95.44,92.86,93.68,93.68,69002663
01/20/2023,93.86,97.35,93.2,97.25,97.25,67481539
01/23/2023,97.56,97.78,95.86,97.52,97.52,76501103
01/24/2023,96.93,98.09,96.0,96.32,96.32,66929452
01/25/2023,92.56,97.24,91.52,97.18,97.18,94261570
01/26/2023,98.24,99.49,96.92,99.22,99.22,68523557
01/27/2023,99.53,103.48,99.53,102.24,102.24,87775614
01/30/2023,101.09,101.74,99.01,100.55,100.55,70691860
01/31/2023,101.16,103.35,101.14,103.13,103.13,66527253
02/01/2023,102.53,106.24,101.24,105.15,105.15,80450121
02/02/2023,110.24,114.0,108.88,112.91,112.91,158154243
02/03/2023,105.26,108.78,102.52,103.39,103.39,144374828
02/06/2023,102.92,103.95,100.65,102.18,102.18,81945199
02/07/2023,101.17,102.41,98.08,102.11,102.11,119501301
02/08/2023,102.04,102.67,98.78,100.05,100.05,75878304
02/09/2023,101.32,101.78,97.57,98.24,98.24,64622489
02/10/2023,97.56,98.82,96.23,97.61,97.61,52740133
02/13/2023,97.85,99.68,96.91,99.54,99.54,52841464
02/14/2023,98.41,100.92,97.52,99.7,99.7,56202898
02/15/2023,99.09,101.17,98.45,101.16,101.16,48053879
02/16/2023,99.21,100.63,98.1,98.15,98.15,56339173
02/17/2023,97.8,97.94,95.65,97.2,97.2,60029405
