Date,Open,High,Low,Close,Adj Close,Volume
08/12/2022,288.48,291.91,286.94,291.91,291.91,22619675
08/15/2022,291.0,294.18,290.11,293.47,293.47,18085654
08/16/2022,291.99,294.04,290.42,292.71,292.71,18102882
08/17/2022,289.74,293.35,289.47,291.32,291.32,18253358
08/18/2022,290.19,291.91,289.08,290.17,290.17,17186192
08/19/2022,288.9,289.25,285.56,286.15,286.15,20570033
08/22/2022,282.08,282.46,277.22,277.75,277.75,25061070
08/23/2022,276.44,278.86,275.4,276.44,276.44,17527409
08/24/2022,275.41,277.23,275.11,275.79,275.79,18137019
08/25/2022,277.33,279.02,274.52,278.85,278.85,16583407
08/26/2022,279.08,280.34,267.98,268.09,268.09,27549307
08/29/2022,265.85,267.4,263.85,265.23,265.23,20338544
08/30/2022,266.67,267.05,260.66,262.97,262.97,22767071
08/31/2022,265.39,267.11,261.33,261.47,261.47,24791834
09/01/2022,258.87,260.89,255.41,260.4,260.4,23263431
09/02/2022,261.69,264.74,254.47,256.06,256.06,22855380
09/06/2022,256.2,257.83,251.94,253.25,253.25,21328242
09/07/2022,254.7,258.83,253.22,258.09,258.09,24126700
09/08/2022,257.51,260.43,254.79,258.52,258.52,20319911
09/09/2022,260.5,265.23,260.29,264.46,264.46,22093190
09/12/2022,265.78,267.45,265.16,266.65,266.65,18747690
09/13/2022,258.84,260.4,251.59,251.99,251.99,33353318
09/14/2022,253.53,254.23,249.86,252.22,252.22,23912954
09/15/2022,249.77,251.4,244.02,245.38,245.38,31530948
09/16/2022,244.26,245.3,242.06,244.74,244.74,39791768
09/19/2022,242.47,245.14,240.85,244.52,244.52,26826931
09/20/2022,242.06,243.51,239.64,242.45,242.45,26660299
09/21/2022,244.27,247.66,238.9,238.95,238.95,28625557
09/22/2022,237.87,243.86,237.57,240.98,240.98,31061162
09/23/2022,239.54,241.13,235.2,237.92,237.92,34176048
09/26/2022,237.04,241.45,236.9,237.45,237.45,27694190
09/27/2022,239.98,241.8,234.5,236.41,236.41,27018732
09/28/2022,236.81,242.33,234.73,241.07,241.07,29029679
09/29/2022,238.86,239.95,234.41,237.5,237.5,27484233
09/30/2022,238.29,240.54,232.73,232.9,232.9,35694832
10/03/2022,235.41,241.61,234.66,240.74,240.74,28880357
10/04/2022,245.09,250.36,244.98,248.88,248.88,34888416
10/05/2022,245.99,250.58,244.1,249.2,249.2,20347136
10/06/2022,247.93,250.34,246.08,246.79,246.79,20239886
10/07/2022,240.9,241.32,233.17,234.24,234.24,37769602
10/10/2022,233.05,234.56,226.73,229.25,229.25,29743608
10/11/2022,227.62,229.06,224.11,225.41,225.41,30473954
10/12/2022,225.4,227.86,223.96,225.75,225.75,21903937
10/13/2022,219.85,236.1,219.13,234.24,234.24,42551818
10/14/2022,235.54,237.24,228.34,228.56,228.56,30198588
10/17/2022,235.82,238.96,235.13,237.53,237.53,28142268
10/18/2022,243.24,243.93,235.37,238.5,238.5,26329591
10/19/2022,237.04,239.61,234.29,236.48,236.48,19985698
10/20/2022,235.77,241.31,234.87,236.15,236.15,21811015
10/21/2022,234.74,243.0,234.5,242.12,242.12,26299733
